|    | ('',)                               | ('2023',)   | ('September 30, 2022',)   |
|---:|:------------------------------------|:------------|:--------------------------|
|  0 | Revenue                             |             |                           |
|  1 | Productivity and Business Processes | $18,592     | $16,465                   |
|  2 | Intelligent Cloud                   | 24,259      | 20,325                    |
|  3 | More Personal Computing             | 13,666      | 13,332                    |
|  4 | Total                               | $56,517     | $50,122                   |
|  5 | Operating Income                    |             |                           |
|  6 | Productivity and Business Processes | $9,970      | $8,323                    |
|  7 | Intelligent Cloud                   | 11,751      | 8,978                     |
|  8 | More Personal Computing             | 5,174       | 4,217                     |
|  9 | Total                               | $26,895     | $21,518                   |
