|    | ('',)                               | ('December',)   | ('31, 2020',)   | ('2021',)   | ('December 31, 2020',)   |
|---:|:------------------------------------|:----------------|:----------------|:------------|:-------------------------|
|  0 | Revenue                             | 2021            |                 | 2021        |                          |
|  1 | Productivity and Business Processes | $15,936         | $13,353         | $30,975     | $25,672                  |
|  2 | Intelligent Cloud                   | 18,327          | 14,601          | 35,291      | 27,587                   |
|  3 | More Personal Computing             | 17,465          | 15,122          | 30,779      | 26,971                   |
|  4 | Total                               | $51,728         | $43,076         | $97,045     | $80,230                  |
|  5 | Operating Income                    |                 |                 |             |                          |
|  6 | Productivity and Business Processes | $7,688          | $6,181          | $15,269     | $11,887                  |
|  7 | Intelligent Cloud                   | 8,197           | 6,492           | 15,759      | 11,914                   |
|  8 | More Personal Computing             | 6,362           | 5,224           | 11,457      | 9,972                    |
|  9 | Total                               | $22,247         | $17,897         | $42,485     | $33,773                  |
